VCW_MRI,VCW_ULTRA
0.3,0.24
0.28,0.28
0.4,0.4
0.22,0.2
0.34,0.43
0.39,0.28
0.4,0.31
0.36,0.33
0.3,0.4
0.67,0.7
0.42,0.47
0.3,0.32
0.61,0.68
0.59,0.59
0.64,0.61
0.53,0.48
0.33,0.35
0.42,0.5
0.36,0.45
0.31,0.31
0.55,0.6
0.3,0.29
0.51,0.5
0.59,0.62
0.36,0.43
0.45,0.5
0.36,0.31
0.36,0.4
0.43,0.48
0.36,0.33
0.35,0.35
0.33,0.45
0.33,0.38
0.47,0.5
0.43,0.46
0.32,0.32
0.31,0.41
0.3,0.27
0.41,0.4
0.34,0.32
0.46,0.41
0.45,0.55
0.44,0.36
0.49,0.54
0.27,0.29
0.45,0.4
0.38,0.34
0.35,0.33
0.55,0.51
0.29,0.26
0.34,0.46
0.3,0.33
0.3,0.22
0.27,0.28
0.4,0.28
0.44,0.34
0.31,0.3
0.44,0.4
0.4,0.41
0.37,0.37
